RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,ZIP code,Amount,TPN_ID
1,Chancellor,6400,216224,PUGLIESE ASSOCIATES INC,500 NORTH THIRD ST,9TH FL,HARRISBURG,PA,17101,144000,1-6400-216224
1,Chancellor,6400,218950,PR NEWSWIRE ASSOCIATION LLC,GPO BOX 5897,,NEW YORK,NY,10087-5897,1700,1-6400-218950
1,Chancellor,6400,228767,REED SMITH LLP,PO BOX 759052,,BALTIMORE,MD,21275-9052,36341,1-6400-228767
1,Chancellor,6400,232549,ZOLTUN DESIGN,168 SOUTH 19TH STREET,,PITTSBURGH,PA,15203,2118,1-6400-232549
1,Chancellor,6400,245895,"JENNIFER L FLAGGS, LLC",1090 LAFAYETTE STREET,,BRIDGEVILLE,PA,15017,1993,1-6400-245895
1,Chancellor,6400,254680,SCHNEIDER DOWNS & CO INC,PO BOX 645948,,PITTSBURGH,PA,16564-5257,70115,1-6400-254680
1,Chancellor,6400,260417,"SMITH, JASIRI",286 ELLIOTT ROAD,,MONROEVILLE,PA,15146,1000,1-6400-260417
1,Chancellor,6400,265379,STRASSBURGER MCKENNA GUTNIK & GEFSKY ATT,322 BLVD OF THE ALLIES,SUITE 700,PITTSBURGH,PA,15222,14085,1-6400-265379
1,Chancellor,6400,273249,CENTER FOR HEARING & DEAF SERVICES INC,1945 FIFTH AVE,,PITTSBURGH,PA,15219,7874,1-6400-273249
1,Chancellor,6400,297192,WASHINGTON CONSULTING GROUP,8331 SCOTTS LEVEL RD,,BALTIMORE,MD,21208,4500,1-6400-297192
1,Chancellor,6400,301810,"ALDRICH, RENEE",112 KIRKPATRICK STREET,,PITTSBURGH,PA,15219,2350,1-6400-301810
1,Chancellor,6400,312097,"AMEN, KEIGHTLEY",376 WILLOWHEDGE DRIVE,,MONROEVILLE,PA,15146,6480,1-6400-312097
1,Chancellor,6400,320609,MEDIAQUEST,4891 CAMPBELLS RUN RD,,PITTSBURGH,PA,15205,50667,1-6400-320609
1,Chancellor,6400,349249,"TREGASKIS, SHARON R",454 OLD 76 ROAD,,BROOKTONDALE,NY,14817,3450,1-6400-349249
1,Chancellor,6400,353889,ON MOTION MEDIA,209 9TH STREET,SUITE 202,PITTSBURGH,PA,15222,9500,1-6400-353889
1,Chancellor,6400,360423,BENDING OAK PUBLISHING,1041 SOUTH NEGLEY AVENUE,,PITTSBURGH,PA,15217,3300,1-6400-360423
1,Chancellor,6400,382387,CISION US INC,PO BOX 842869,,BOSTON,MA,02284-2869,96000,1-6400-382387
1,Chancellor,6400,385600,"BAHLER, AMBER L",463 MARIETTA PLACE,,PITTSBURGH,PA,15228,2614,1-6400-385600
1,Chancellor,6400,392162,"HAYNES, MONICA",735 GREENSBURG PIKE,,NORTH VERSAILLES,PA,15137,1250,1-6400-392162
1,Chancellor,6400,411199,"ROUVALIS, CRISTINA",210 MABRICK AVE,,PITTSBURGH,PA,15228,3200,1-6400-411199
1,Chancellor,6400,420373,"VOGLER, CHAD",220 PEARL STREET 2ND FLOOR,,PITTSBURGH,PA,15224,3000,1-6400-420373
1,Chancellor,6400,435462,XFORTY TECHNOLOGIES,192 W RIDGE PIKE STE #2,,LIMERICK,PA,19468,5950,1-6400-435462
1,Chancellor,6400,448843,"TRAN, PHUC M",3764 BIGELOW BLVD,,PITTSBURGH,PA,15213,1500,1-6400-448843
1,Chancellor,6400,483965,"MILLER, NICHOLAS",5819 ELGIN STREET,,PITTSBURGH,PA,15206,8960,1-6400-483965
1,Chancellor,6400,496436,"PELC, SARAH M",6810 PERRYSVILLE AVE,,PITTSBURGH,PA,15202,6162,1-6400-496436
1,Chancellor,6400,519364,"LEE, BICHRI TAZE",2020 LARKINSWAY,,PITTSBURGH,PA,15203,3056,1-6400-519364
1,Chancellor,6400,525673,TVEYES INC,1150 POST ROAD,,FAIRFIELD,CT,06824,3950,1-6400-525673
1,Chancellor,6400,536536,"GOODMANSON, RACHEL MENNIES",1950 N CAMPBELL AVE,402 N,CHICAGO,IL,60647,3050,1-6400-536536
1,Chancellor,6400,540927,WOLTERS KLUWER FINANCIAL SERVICES INC,PO BOX 842014,,BOSTON,MA,02284,14068,1-6400-540927
1,Chancellor,6400,544722,REV.COM INC,DEPT LA 24706,,PASADENA,CA,91185-4706,5546,1-6400-544722
1,Chancellor,6400,558135,AWESOME FILMS LLC,2653 GLOUCESTER DRIVE,,PITTSBURGH,PA,15241,28152,1-6400-558135
1,Chancellor,6400,560171,"TORISK, EMMALEE CORINNE",100 LESLIE RD,,MONROEVILLE,PA,15146,2280,1-6400-560171
1,Chancellor,6400,562181,ADAM REGER LLC,409 EMERSON AVE,,PITTSBURGH,PA,15215,1300,1-6400-562181
1,Chancellor,6400,566864,JIM PROKELL STUDIO,26 MARYLEA AVE,,PITTSBURGH,PA,15227,5000,1-6400-566864
1,Chancellor,6400,571859,BRAND IQ CREATIVE GROUP,600 GRANT ST SUITE 660,,PITTSBURGH,PA,15219,21000,1-6400-571859
1,Chancellor,6400,577242,FOURTH ECONOMY COUNSULTING INC,1501 PREBLE AVE 2ND FLOOR,,PITTSBURGH,PA,15233,12600,1-6400-577242
1,Chancellor,6400,580866,SPROUT SOCIAL INC,131 S DEARBORN ST STE 700,,CHICAGO,IL,60603,59056,1-6400-580866
1,Chancellor,6400,583750,AMEN EDITORIAL LLC,3 HEATHER COURT,,PITTSBURGH,PA,15239,2040,1-6400-583750
1,Chancellor,6400,597581,PHONE2ACTION INC,1401 WILSON BLVD STE 700,,ARLINGTON,VA,22209,1600,1-6400-597581
1,Chancellor,6400,608709,"BECKER, REIKO Y",200 OPHELIA ST,,PITTSBURGH,PA,15213,5713,1-6400-608709
1,Chancellor,6400,609560,COZEN O'CONNOR PC,7885,PO BOX 7247,PHILADELPHIA,PA,19170-7885,5480,1-6400-609560
1,Chancellor,6400,612153,ROOT & ALL LLC,327 PITT STREET,,PITTSBURGH,PA,15221,15450,1-6400-612153
1,Chancellor,6400,613878,CRIMSON QUILL PUBLICATIONS,1130 MCCABE STREET,,PITTSBURGH,PA,15201,1400,1-6400-613878
1,Chancellor,6400,615308,"BATTLE, ALLEGRA",904 VILLAGE RD,,PITTSBURGH,PA,15205,1250,1-6400-615308
1,Chancellor,6400,619604,"MASSET, CARA JH",11660 WINDSOR BAY PLACE,,WELLINGTON,FL,33449,11100,1-6400-619604
1,Chancellor,6400,634765,"TEREZA, NICOLE",30 HAMILTON AVE,,CRANFORD,NJ,07016,6365,1-6400-634765
1,Chancellor,6400,635013,CARNEGIE DARTLET LLC,210 LITTLETON RD,STE 100,WESTFORD,MA,01886,241071,1-6400-635013
1,Chancellor,6400,635591,"MENDELSON, ROBERT C",1360 DENNISTON AVE,,PITTSBURGH,PA,15217,38000,1-6400-635591
1,Chancellor,6400,637669,OASIS PROPERTY MAINTENANCE AND MANAGEMEN,7238 FLEURY WAY,,PITTSBURGH,PA,15208,70977,1-6400-637669
1,Chancellor,6400,644980,"HIRSHON, MICHAEL",614 SPRUCE STREET APT 2,,MADISON,WI,53715,2900,1-6400-644980
1,Chancellor,6400,666353,OFFPREM TECHNOLOGY,4342 WHITETAIL WOODS DR,,BARGERSVILLE,IN,46106,5500,1-6400-666353
1,Chancellor,6400,677486,"ROSEN, SAMANTHA P",64 EAST PRINCETON RD,,BALA CYNWYD,PA,19004,2265,1-6400-677486
1,Chancellor,6400,685716,PRIMACY,1577 NEW BRITAIN AVE,,FARMINGTON,CT,06032,293335,1-6400-685716
1,Chancellor,6400,686539,DILIGENT CORPORATION,PO BOX 419829,,BOSTON,MA,02241-9874,4096,1-6400-686539
1,Chancellor,6400,687009,GARRISON FOX INC,1215 S NEGLEY AVE,,PITTSBURGH,PA,15217,4900,1-6400-687009
1,Chancellor,6400,687039,"KUHN, JANICE PATRICIA",22 SPRINGHURST PARK,,DOBBS FERRY,NY,10522,3000,1-6400-687039
1,Chancellor,6400,689609,SWINFORD GROUP LLC,825 STONE HOUSE RD,,AMBLER,PA,19002,2300,1-6400-689609
1,Chancellor,6400,689880,"SOLOMON, CHRISTOPHER A",PO BOX 75,,WINTHROP,WA,98862,4600,1-6400-689880
1,Chancellor,6400,690204,NOTE TAKING EXPRESS INC,228 PARK AVE S PMB 98547,,NEW YORK,NY,10003-1502,3364,1-6400-690204
1,Chancellor,6400,692804,"FRANK, CHRISTINA",235 OCEAN PARKWAY APT 7B,,BROOKLYN,NY,11218,1430,1-6400-692804
1,Chancellor,6400,701868,PAINTING WITH PURPOSE,231 FERN ST,,PITTSBURGH,PA,15224,1500,1-6400-701868
1,Chancellor,6600,376590,COMCAST,P.O. BOX 105184,,ATLANTA,GA,30348-5184,3808,1-6600-376590
1,Chancellor,6700,296762,"US POSTMASTER BURLINGTON, VT",PO BOX 130,,BURLINGTON,VT,05402,54743,1-6700-296762
1,Chancellor,6800,109751,REED & WITTING COMPANY,5000 BAUM BLVD,,PITTSBURGH,PA,15213,1676,1-6800-109751
1,Chancellor,6800,150727,LANE PRESS INC,PO BOX 130,,BURLINGTON,VT,05402,104660,1-6800-150727
1,Chancellor,6800,271715,KNEPPER PRESS CORPORATION,CLINTON COMMERCE PARK,2251 SWEENEY DRIVE,CLINTON,PA,15026-1818,45120,1-6800-271715
1,Chancellor,6900,103656,DUQUESNE CLUB,325 6TH AVE,,PITTSBURGH,PA,15222,1385,1-6900-103656
1,Chancellor,6900,105115,HARVARD UNIVERSITY,ACCOUNTS RECEIVABLE DEPT,PO BOX 4999,BOSTON,MA,02212,2550,1-6900-105115
1,Chancellor,6900,108897,CAMPUS COMPACT OF NEW YORK AND PENNSYLVA,PO BOX 4508,ONE COLLEGE AVE,GRANTHAM,PA,17027,15400,1-6900-108897
1,Chancellor,6900,109193,PITTSBURGH COUNCIL ON HIGHER EDUCATION,3814 FORBES AVE,,PITTSBURGH,PA,15213,22530,1-6900-109193
1,Chancellor,6900,117238,AMERICAN ACADEMY OF ARTS & SCIENCES,"136 IRVING STREET, FINANCE OFFICE",,CAMBRIDGE,MA,02138-1996,15000,1-6900-117238
1,Chancellor,6900,117978,AFRICAN AMERICAN CHAMBER OF COMMERCE,"CONFERENCE REGISTRATION, GACAAA",ROOM 506,HARRISBURG,PA,17120,5000,1-6900-117978
1,Chancellor,6900,140970,AAU,PO BOX 17581,,BALTIMORE,MD,21297-0519,134000,1-6900-140970
1,Chancellor,6900,177937,COUNCIL FOR HIGHER EDUCATION ACCREDITATI,PO BOX 75387,,BALTIMORE,MD,21275-7387,13860,1-6900-177937
1,Chancellor,6900,187390,COUNCIL ON COMPETITIVENESS,1401 H STREET NW,SUITE 650,WASHINGTON,DC,20005,10000,1-6900-187390
1,Chancellor,6900,196607,ASSOCIATED PRESS,P O BOX 414262,,BOSTON,MA,02241-4262,1050,1-6900-196607
1,Chancellor,6900,223247,GEORGIA TECH RESEARCH CORP,PO BOX 100117,,ATLANTA,GA,30384,1500,1-6900-223247
1,Chancellor,6900,258411,ASSN OF GOVERNING BOARDS OF UNIVERSITIES,AGB MEMBERSHIP,PO BOX  418687,BOSTON,MA,02241-8687,11995,1-6900-258411
1,Chancellor,6900,267199,GETTY IMAGES INC,4363 COLLECTIONS CENTER DR,,CHICAGO,IL,60693,12123,1-6900-267199
1,Chancellor,6900,413077,ASSOCIATION OF PUBLIC LAND-GRANT UNIVERS,DEPARTMENT 0545,,WASHINGTON,DC,20073-0545,126405,1-6900-413077
1,Chancellor,6900,437304,ROSALIND FRANKLIN SOCIETY,140 HUGUENOT STREET,THIRD FLOOR,NEW ROCHELLE,NY,10801-5215,5000,1-6900-437304
1,Chancellor,6900,510495,MIDDLE STATES COMMISSION ON HIGHER EDUCA,3624 MARKET ST STE 2W,,PHILADELPHIA,PA,19104-2680,32916,1-6900-510495
1,Chancellor,6900,577992,COALITION OF URBAN AND METROPOLITAN UNIV,C/O TOWSON UNIVERSITY,8000 YORK RD,TOWSON,MD,21252,2900,1-6900-577992
1,Chancellor,6900,589134,"POLITICO, LLC",1000 WILSON BLVD 8TH FL,,ARLINGTON,VA,22209,9117,1-6900-589134
1,Chancellor,7140,625742,STATE SERVICES ORGANIZATION,PO BOX 38052,,BALTIMORE,MD,21297-8052,2174,1-7140-625742
1,Chancellor,7300,105280,HILL COMMUNITY DEVELOPMENT CORP,2015-17 CENTRE AVE 2ND FL,,PITTSBURGH,PA,15219,169553,1-7300-105280
1,Chancellor,7300,121976,WEBSTER HALL PLAZA ASSOCS,NDC REAL ESTATE MANAGEMENT INC,4415 5TH AVE,PITTSBURGH,PA,15213,38259,1-7300-121976
1,Chancellor,7300,176128,WEBSTER APARTMENT ASSOC(S),NDC REAL ESTATE MANAGEMENT INC,4415 FIFTH AVENUE,PITTSBURGH,PA,15213,119774,1-7300-176128
1,Chancellor,7300,591606,BIBLE CENTER CHURCH,7238 FLEURY WAY,,PITTSBURGH,PA,15208,69835,1-7300-591606
1,Chancellor,7300,625742,STATE SERVICES ORGANIZATION,PO BOX 38052,,BALTIMORE,MD,21297-8052,45064,1-7300-625742
1,Chancellor,7400,105188,HEETER DIRECT,441 TECHNOLOGY DR,,CANONSBURG,PA,15317,1855,1-7400-105188
1,Chancellor,7400,107698,MODERN REPRODUCTIONS INC,127 MCKEAN ST,,PITTSBURGH,PA,15219,2026,1-7400-107698
1,Chancellor,7400,109179,PITTSBURGH BUSINESS TIMES,PO BOX 52250,,BOULDER,CO,80322-2250,2500,1-7400-109179
1,Chancellor,7400,109751,REED & WITTING COMPANY,5000 BAUM BLVD,,PITTSBURGH,PA,15213,43357,1-7400-109751
1,Chancellor,7400,122014,AAA ENGRAVING,3 STATION SQUARE DR EAST,,PITTSBURGH,PA,15219,4322,1-7400-122014
1,Chancellor,7400,197483,WARREN ASSOCIATES,2901 BRIGHTON ROAD,,PITTSBURGH,PA,15212,9086,1-7400-197483
1,Chancellor,7400,232549,ZOLTUN DESIGN,168 SOUTH 19TH STREET,,PITTSBURGH,PA,15203,11974,1-7400-232549
1,Chancellor,7400,271715,KNEPPER PRESS CORPORATION,CLINTON COMMERCE PARK,2251 SWEENEY DRIVE,CLINTON,PA,15026-1818,19375,1-7400-271715
1,Chancellor,7400,295146,ALPHAGRAPHICS IN THE CULTURAL DISTRICT,6775 NW 15TH AVENUE,,FORT LAUDERDALE,FL,33309,13582,1-7400-295146
1,Chancellor,7400,360423,BENDING OAK PUBLISHING,1041 SOUTH NEGLEY AVENUE,,PITTSBURGH,PA,15217,1650,1-7400-360423
1,Chancellor,7400,463888,PRINTSCAPE INC,760 VISTA PARK DRIVE BLDG 7,,PITTSBURGH,PA,15205,1247,1-7400-463888
1,Chancellor,7400,558135,AWESOME FILMS LLC,2653 GLOUCESTER DRIVE,,PITTSBURGH,PA,15241,11883,1-7400-558135
1,Chancellor,7400,562181,ADAM REGER LLC,409 EMERSON AVE,,PITTSBURGH,PA,15215,4500,1-7400-562181
1,Chancellor,7400,571269,OLOGIE LLC,447 EAST MAIN STREET,,COLUMBUS,OH,43215,47500,1-7400-571269
1,Chancellor,7400,613878,CRIMSON QUILL PUBLICATIONS,1130 MCCABE STREET,,PITTSBURGH,PA,15201,1200,1-7400-613878
1,Chancellor,7400,651530,COOPER APPAREL & PROMOTIONS LLC,926 1/2 S AIKEN AVE,,PITTSBURGH,PA,15232,1004,1-7400-651530
1,Chancellor,7400,689789,AEC COMMUNITE-STORE LLC,101 BRILLIANT AVE STE 200,,PITTSBURGH,PA,15215,2464,1-7400-689789
3,SVC Research,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,15852,3-6000-100877
3,SVC Research,6000,101928,BUTLER GAS PRODUCTS CO,110 NICHOL AVE,,MCKEES ROCKS,PA,15136,7075,3-6000-101928
3,SVC Research,6000,102126,CARNEGIE MELLON UNIVERSITY,THE IMPACT MOVEMENT,4209 WASHINGTON BLVD,BALTIMORE,MD,21227,20000,3-6000-102126
3,SVC Research,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,129873,3-6000-103356
3,SVC Research,6000,106977,LUDLUM MEASUREMENTS INC,PO BOX 972965,,DALLAS,TX,75397-2965,1869,3-6000-106977
3,SVC Research,6000,185133,CDW GOVERNMENT INC,75 REMITTANCE DR,SUITE 1515,CHICAGO,IL,60675-1515,9388,3-6000-185133
3,SVC Research,6000,295708,INTEL AMERICAS INC,19521 E 32ND PKWY,,AURORA,CO,80011-8141,17278,3-6000-295708
3,SVC Research,6000,319678,PERKINELMER GENETICS INC,PO BOX 101668,,ATLANTA,GA,30392-1668,1056,3-6000-319678
3,SVC Research,6000,459362,BERLIN PACKAGING LLC,"525 WEST MONROE ST, 14 FL",,CHICAGO,IL,60661,1478,3-6000-459362
3,SVC Research,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,5197,3-6000-521322
3,SVC Research,6000,559941,WELLSPRING WORLDWIDE LLC,"350 N LASALLE DR, SUITE 1200",,CHICAGO,IL,60654,4860,3-6000-559941
3,SVC Research,6000,637419,TECHNOLOGIE TRANSFER INITIATIVE GMBH AN,NOBELSTRASSE 15,,STUTTGART,,D-70569,4822,3-6000-637419
3,SVC Research,6000,688465,MARK III SYSTEMS INC,3600 S GESSNER STE 170,,HOUSTON,TX,77063,24234,3-6000-688465
3,SVC Research,6000,696846,IXSYSTEMS INC,PO BOX 741267,,LOS ANGELES,CA,90074,136421,3-6000-696846
3,SVC Research,6400,101300,BAXTER HEALTHCARE CORP,PO BOX 905788,15-A915060,CHARLOTTE,NC,28290,27177,3-6400-101300
3,SVC Research,6400,106581,LANDAUER INC,PO BOX 809051,,CHICAGO,IL,60680-9051,79721,3-6400-106581
3,SVC Research,6400,111630,TUFTS UNIVERSITY,C/O DANIEL DAVID KARP MD,750 WASHINGTON ST,BOSTON,MA,02111,2453,3-6400-111630
3,SVC Research,6400,111807,UNIVERSITY OF CHICAGO,PO BOX 4110,OFFICE OF THE BURSAR,CAROL STREAM,IL,60197-4110,1202,3-6400-111807
3,SVC Research,6400,115195,LEYDIG VOIT & MAYER LTD,"2 PRUDENTIAL PLAZA, SUITE 4900",,CHICAGO,IL,60601-6731,355268,3-6400-115195
3,SVC Research,6400,127086,MAYO FOUNDATION FOR MEDICAL EDUCATION AN,200 FIRST STREET SW,,ROCHESTER,NY,55905,1145,3-6400-127086
3,SVC Research,6400,176893,THE PENNSYLVANIA STATE UNIVERSITY,COOPERATIVE EXT.VALLEY VIEW E WING,301 VALLEY VIEW BLVD.,ALTOONA,PA,16602,53811,3-6400-176893
3,SVC Research,6400,185066,ECKERT SEAMANS CHERIN & MELLOTT LLC,"600 GRANT STREET, 44TH FLOOR",,PITTSBURGH,PA,15219,580863,3-6400-185066
3,SVC Research,6400,196013,"FOLEY & LARDNER, LLP",777 EAST WISCONSIN AVE,,MILWAUKEE,WI,53202,228513,3-6400-196013
3,SVC Research,6400,219887,"BAKER BOTTS, LLP",1500 SAN JACINTO CENTER,98 SAN JACINTO BLVD,AUSTIN,TX,78701-4287,1140684,3-6400-219887
3,SVC Research,6400,243817,"PELL, RICHARD",5952 PHILLIPS AVENUE,,PITTSBURGH,PA,15217,2000,3-6400-243817
3,SVC Research,6400,244536,KNOWLEDGE SHARING SYSTEMS,PO BOX 369,ACCOUNTS PAYABLE,CARY,NC,27512,19640,3-6400-244536
3,SVC Research,6400,257495,BIOMERIEUX INC,PO BOX 751087,,CHARLOTTE,NC,28275,1350,3-6400-257495
3,SVC Research,6400,273126,ON SITE SYSTEMS INC,23 N GORE AVE,SUITE 200,ST LOUIS,MO,63119,4680,3-6400-273126
3,SVC Research,6400,275548,FISH & RICHARDSON P C,255 FRANKLIN STREET,,BOSTON,MA,02110-2804,639560,3-6400-275548
3,SVC Research,6400,298032,"MEDLEN & CARROLL, LLP",1440 BROADWAY SUITE 1010,,OAKLAND,CA,94612,96727,3-6400-298032
3,SVC Research,6400,300146,FLUKE ELECTRONICS CORP,799 E UTAH VALLEY DR,,AMERICAN FORK,UTAH,84003,5785,3-6400-300146
3,SVC Research,6400,351796,IMAGEBOX PRODUCTIONS INC,5313 ST JAMES TERRACE,,PITTSBURGH,PA,15232,30475,3-6400-351796
3,SVC Research,6400,353647,WEBB LAW FIRM,436 SEVENTH AVE,700 KOPPERS BUILDING,PITTSBURGH,PA,15219,941140,3-6400-353647
3,SVC Research,6400,404188,KLARQUIST SPARKMAN LLP,"121 SW SALMON STREET, SUITE 1600",ONE WORLD TRADE CENTER,PORTLAND,OR,97204-2927,1557070,3-6400-404188
3,SVC Research,6400,424663,CPA GLOBAL LIMITED,225 REINEKERS LANE,STE. 400,ALEXANDRIA,VA,22314,937300,3-6400-424663
3,SVC Research,6400,429752,HURON CONSULTING SERVICES LLC,4795 PAYSPHERE CIRCLE,,CHICAGO,IL,60674,127971,3-6400-429752
3,SVC Research,6400,432769,BARTONY & ASSOCIATES LLC,PO BOX 910,,BUTLER,PA,16003-0910,418985,3-6400-432769
3,SVC Research,6400,435462,XFORTY TECHNOLOGIES,192 W RIDGE PIKE STE #2,,LIMERICK,PA,19468,11730,3-6400-435462
3,SVC Research,6400,477443,"WORMSLEY, ALISHA",5122 HILLCREST ST,,PITTSBURGH,PA,15224,2000,3-6400-477443
3,SVC Research,6400,499626,SERVICE EXPRESS INC,3854 BROADMOOR AVENUE SE,,GRAND RAPIDS,MI,49512,20878,3-6400-499626
3,SVC Research,6400,505730,RJG TRANSLATIONS LLC,5927 HOWE ST APT 202,,PITTSBURGH,PA,15232,1500,3-6400-505730
3,SVC Research,6400,519708,CLARK HILL PLC,"500 WOODWARD AVE, SUITE 3500",,DETROIT,MI,48226,137380,3-6400-519708
3,SVC Research,6400,543004,"MEUNIER CARLIN & CURFMAN, LLC",817 WEST PEACHTREE STREET SUITE 500,,ATLANTA,GA,30308,373983,3-6400-543004
3,SVC Research,6400,558135,AWESOME FILMS LLC,2653 GLOUCESTER DRIVE,,PITTSBURGH,PA,15241,9324,3-6400-558135
3,SVC Research,6400,561768,AMBER ROAD INC,PO BOX 373,,ALBANY,NY,12201-0373,27000,3-6400-561768
3,SVC Research,6400,581065,"KORNBLITH, PAUL L",5015 APPLE RIDGE DRIVE,,ALLISON PARK,PA,15101,2000,3-6400-581065
3,SVC Research,6400,583235,KB SCIENCE LLC,PO BOX 140343 CHARLES ST STATION,,BOSTON,MA,02114,6833,3-6400-583235
3,SVC Research,6400,586473,"GOODWIN PROCTER, LLP",100 NORTHERN AVENUE,ATTN ACCTS REC 7TH FLOOR,BOSTON,MA,02210,298725,3-6400-586473
3,SVC Research,6400,602445,"TRYBUS, JESSICA",6338 BRYANT ST,,PITTSBURGH,PA,15206,2800,3-6400-602445
3,SVC Research,6400,606824,INNOGRAPHY INC,3900 N CAPITAL OF TEXAS HWY,STE 175,AUSTIN,TX,78746-1744,5000,3-6400-606824
3,SVC Research,6400,608787,UVA LICENSING & VENTURES GROUP,722 PRESTON AVE STE 107,,CHARLOTTESVILLE,VA,22903,22203,3-6400-608787
3,SVC Research,6400,621037,DANE CONSULTING LLC,5930 HOWE ST APT 103,,PITTSBURGH,PA,15232,11900,3-6400-621037
3,SVC Research,6400,680417,MCNEILL BAUR PLLC,TWO BALA PLAZA,SUITE 300 507,BALA CYNWYD,PA,19004,8437,3-6400-680417
3,SVC Research,6400,682551,"WATSON, GLENN M",6111 FIFTH AVE,STE 2D,PITTSBURGH,PA,15232,2500,3-6400-682551
3,SVC Research,6400,691516,TTP PLC,MELBOURN SCIENCE PARK,CAMBRIDGE RD MELBOURN,MELBOURN,,SG8 6EE,391000,3-6400-691516
3,SVC Research,6400,696992,RED OAK CONSULTING LLP,2 LYMINGTON RISE,FOUR MARKS,ALTON,,GU34 5BA,12500,3-6400-696992
3,SVC Research,6400,700578,"SHANNON, WILLIAM",1005 OGELTHORPE AVE,,PITTSBURGH,PA,15201,2000,3-6400-700578
